mealPlanID,recipeID,day,mealType
1,8,Saturday,breakfast
2,15,Thursday,breakfast
3,10,,breakfast
4,8,Tuesday,lunch
5,6,Friday,dinner
6,15,Friday,dinner
7,5,,dinner
8,3,Sunday,breakfast
9,2,Saturday,lunch
10,11,Monday,breakfast
11,1,,lunch
12,6,Friday,dinner
13,15,Tuesday,dinner
14,2,Sunday,lunch
15,6,Thursday,dinner
16,3,Thursday,dinner
17,12,,dinner
18,13,Friday,dinner
19,15,Sunday,lunch
20,2,Tuesday,breakfast
21,13,Monday,dinner
22,14,Wednesday,lunch
23,11,Saturday,lunch
24,12,,breakfast
25,3,Monday,lunch
26,11,Thursday,lunch
27,3,Saturday,lunch
28,11,,breakfast
29,11,,breakfast
30,2,Wednesday,breakfast
